,EMA Crossover,RSI Strategy,Buy & Hold
Total Return [%],471.7369242825038,113.43710619478298,632.4077469325713
Max Drawdown [%],34.147133505956766,48.64587028443832,55.18943044264023
Sharpe Ratio,0.711322646572845,0.3208413129509851,0.5949072091521911
Sortino Ratio,0.9684377135005698,0.4615766165282658,0.8422068078513703
Calmar Ratio,0.3009761071064915,0.08933833768823635,0.21418259626468716
